,valor,Variable,Index
12945,0.0,vGenPlt,CALIMA.1#8737
12946,78.0,vGenPlt,CARLOS_LLERAS.1#8761
12947,0.0,vGenPlt,CHIVOR.1#8785
12948,56.0,vGenPlt,CUCUANA.1#8809
12949,136.0,vGenPlt,DARIO_VALENCIA_SAMPER.1#8833
12950,100.0,vGenPlt,EL_QUIMBO.1#8857
12951,55.0,vGenPlt,ESCUELA_DE_MINAS.1#8881
12952,30.0,vGenPlt,ESMERALDA.1#8905
12953,535.0,vGenPlt,GUATRON.1#8929
12954,560.0,vGenPlt,GUATAPE.1#8953
12955,1250.0,vGenPlt,GUAVIO.1#8977
12956,900.0,vGenPlt,ITUANGO.1#9001
12957,0.0,vGenPlt,JAGUAS.1#9025
12958,0.0,vGenPlt,PAGUA.1#9049
12959,0.0,vGenPlt,LA_TASAJERA.1#9073
12960,33.0,vGenPlt,MIEL_I.1#9097
12961,207.0,vGenPlt,PLAYAS.1#9121
12962,405.0,vGenPlt,PORCE_II.1#9145
12963,680.0,vGenPlt,PORCE_III.1#9169
12964,0.0,vGenPlt,PRADO.1#9193
12965,35.0,vGenPlt,SALTO_II.1#9217
12966,0.0,vGenPlt,SALVAJINA.1#9241
12967,755.2818000000008,vGenPlt,SAN_CARLOS.1#9265
12968,0.0,vGenPlt,SAN_FRANCISCO.1#9289
12969,50.0,vGenPlt,SAN_MIGUEL.1#9313
12970,500.0,vGenPlt,SOGAMOSO.1#9337
12971,338.0,vGenPlt,URRA.1#9361
12972,0.0,vGenPlt,CARACOLI_I.1#9385
12973,0.0,vGenPlt,EL_PASO.1#9409
12974,0.0,vGenPlt,FUNDACION.1#9433
12975,0.0,vGenPlt,GUAYEPO.1#9457
12976,0.0,vGenPlt,LATAM_SOLAR_LA_LOMA.1#9481
12977,0.0,vGenPlt,PARQUE_SOLAR_LA_UNION.1#9505
12978,0.0,vGenPlt,TEBSA240.2#6242
12979,0.0,vGenPlt,BARRANQUILLA_3.2#6266
12980,0.0,vGenPlt,BARRANQUILLA_4.2#6290
12981,0.0,vGenPlt,CARTAGENA_1.2#6314
12982,0.0,vGenPlt,CARTAGENA_2.2#6338
12983,0.0,vGenPlt,CARTAGENA_3.2#6362
12984,0.0,vGenPlt,GECELCA_3.2#6386
12985,0.0,vGenPlt,GECELCA_32.2#6410
12986,0.0,vGenPlt,GUAJIRA_1.2#6434
12987,0.0,vGenPlt,GUAJIRA_2.2#6458
12988,0.0,vGenPlt,MERILECTRICA_1.2#6482
12989,0.0,vGenPlt,PAIPA_1.2#6506
12990,72.0,vGenPlt,PAIPA_2.2#6530
12991,70.0,vGenPlt,PAIPA_3.2#6554
12992,165.0,vGenPlt,PAIPA_4.2#6578
12993,0.0,vGenPlt,PROELECTRICA_1.2#6602
12994,0.0,vGenPlt,PROELECTRICA_2.2#6626
12995,0.0,vGenPlt,TASAJERO_1.2#6650
12996,0.0,vGenPlt,TASAJERO_2.2#6674
12997,38.0,vGenPlt,TERMOCARIBE_III_1.2#6698
12998,0.0,vGenPlt,TERMODORADA_1.2#6722
12999,0.0,vGenPlt,TERMOYOPAL_1.2#6746
13000,0.0,vGenPlt,TERMOYOPAL_2.2#6770
13001,50.0,vGenPlt,TERMOYOPAL_G3.2#6794
13002,0.0,vGenPlt,TERMOYOPAL_G4.2#6818
13003,50.0,vGenPlt,TERMOYOPAL_G5.2#6842
13004,0.0,vGenPlt,ZIPAEMG_2.2#6866
13005,0.0,vGenPlt,ZIPAEMG_3.2#6890
13006,0.0,vGenPlt,ZIPAEMG_4.2#6914
13007,0.0,vGenPlt,ZIPAEMG_5.2#6938
13008,0.0,vGenPlt,DC_TR_INT_Proy.2#6962
13009,0.0,vGenPlt,DC_TR_ATL_Proy.2#6986
13010,0.0,vGenPlt,DC_TR_BOL_Proy.2#7010
13011,0.0,vGenPlt,DC_TR_GCM_Proy.2#7034
13012,0.0,vGenPlt,DC_TR_CS_Proy.2#7058
13013,0.0,vGenPlt,DC_TR_CRR_Proy.2#7082
13014,0.0,vGenPlt,DC_TR_INT_Proy_1.2#7106
13015,0.0,vGenPlt,DC_TR_ATL_Proy_1.2#7130
13016,0.0,vGenPlt,DC_TR_BOL_Proy_1.2#7154
13017,0.0,vGenPlt,DC_TR_GCM_Proy_1.2#7178
13018,0.0,vGenPlt,DC_TR_CS_Proy_1.2#7202
13019,0.0,vGenPlt,DC_TR_CRR_Proy_1.2#7226
13020,0.0,vGenPlt,DC_TR_INT_Proy_2.2#7250
13021,0.0,vGenPlt,DC_TR_ATL_Proy_2.2#7274
13022,0.0,vGenPlt,DC_TR_BOL_Proy_2.2#7298
13023,0.0,vGenPlt,DC_TR_GCM_Proy_2.2#7322
13024,0.0,vGenPlt,DC_TR_CS_Proy_2.2#7346
13025,0.0,vGenPlt,DC_TR_CRR_Proy_2.2#7370
13026,1415.9,vGenPlt,DC_HD_INT_Proy.2#7394
13027,0.0,vGenPlt,DC_HD_ATL_Proy.2#7418
13028,0.0,vGenPlt,DC_HD_BOL_Proy.2#7442
13029,0.0,vGenPlt,DC_HD_GCM_Proy.2#7466
13030,0.0,vGenPlt,DC_HD_CS_Proy.2#7490
13031,0.0,vGenPlt,DC_HD_CRR_Proy.2#7514
13032,666.0,vGenPlt,NDC.2#7538
13033,5.0,vGenPlt,NDC_ATL.2#7562
13034,8.0,vGenPlt,NDC_BOL.2#7586
13035,24.0,vGenPlt,NDC_GCM.2#7610
13036,0.0,vGenPlt,NDC_CS.2#7634
13037,0.0,vGenPlt,NDC_CRR.2#7658
13038,0.0,vGenPlt,SOLAR_INT.2#7682
13039,0.0,vGenPlt,SOLAR_ATL.2#7706
13040,0.0,vGenPlt,SOLAR_BOL.2#7730
13041,0.0,vGenPlt,SOLAR_GCM.2#7754
13042,0.0,vGenPlt,SOLAR_CS.2#7778
13043,0.0,vGenPlt,SOLAR_CRR.2#7802
13044,0.0,vGenPlt,EOLICO_INT.2#7826
