Unidad,COMBUSTIBLE,DISPPINI1,GP,NARRANQUESPINI1,PRUEBAS,TAPUBLICAR,TDISPPINI1,TFL,TL,UniCops
TESORITO 4,Gas,18.0,0.0,0,0,10,1056,52,0,TESORITO_4
TESORITO 5,Gas,18.0,0.0,0,0,10,1056,124,0,TESORITO_5
TESORITO 6,Gas,18.0,0.0,0,0,10,1056,52,0,TESORITO_6
TESORITO 7,Gas,18.0,0.0,0,0,10,1056,52,0,TESORITO_7
TESORITO 8,Gas,18.0,0.0,0,0,10,1056,124,0,TESORITO_8
TESORITO 9,Gas,18.0,0.0,0,0,10,1056,124,0,TESORITO_9
VILLANUEVA 1,Biomasa,25.0,25.0,0,0,10,1872,0,67,VILLANUEVA_1
ZIPAEMG 2,CarbÃ³n,34.0,0.0,0,0,10,2755,952,0,ZIPAEMG_2
ZIPAEMG 3,CarbÃ³n,63.0,0.0,0,0,10,1015,1126,0,ZIPAEMG_3
ZIPAEMG 4,CarbÃ³n,64.0,0.0,0,0,10,863,724,0,ZIPAEMG_4
ZIPAEMG 5,CarbÃ³n,63.0,0.0,0,0,10,2202,1316,0,ZIPAEMG_5
