RecCops,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
ALBAN,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9
BETANIA,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
EL_QUIMBO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ITUANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIEL_I,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
SALVAJINA,219,124,124,124,124,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
SOGAMOSO,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
URRA,79,79,79,79,79,79,79,79,79,79,154,154,154,79,79,79,79,154,228,228,228,228,228,154
