,fecha,tipo
244,2035-07-15,domingo
245,2035-07-20,festivo
246,2035-07-22,domingo
247,2035-07-29,domingo
248,2035-08-05,domingo
249,2035-08-07,festivo
250,2035-08-12,domingo
251,2035-08-19,domingo
252,2035-08-20,festivo
253,2035-08-26,domingo
254,2035-09-02,domingo
255,2035-09-09,domingo
256,2035-09-16,domingo
257,2035-09-23,domingo
258,2035-09-30,domingo
259,2035-10-07,domingo
260,2035-10-14,domingo
261,2035-10-15,festivo
262,2035-10-21,domingo
263,2035-10-28,domingo
264,2035-11-04,domingo
265,2035-11-05,festivo
266,2035-11-11,domingo
267,2035-11-12,festivo
268,2035-11-18,domingo
269,2035-11-25,domingo
270,2035-12-02,domingo
271,2035-12-08,festivo
272,2035-12-09,domingo
273,2035-12-16,domingo
274,2035-12-23,domingo
275,2035-12-25,festivo
276,2035-12-30,domingo
277,2036-01-01,festivo
278,2036-01-06,domingo
279,2036-01-07,festivo
280,2036-01-13,domingo
281,2036-01-20,domingo
282,2036-01-27,domingo
283,2036-02-03,domingo
284,2036-02-10,domingo
285,2036-02-17,domingo
286,2036-02-24,domingo
287,2036-03-02,domingo
288,2036-03-09,domingo
289,2036-03-16,domingo
290,2036-03-23,domingo
291,2036-03-24,festivo
292,2036-03-30,domingo
293,2036-04-06,domingo
294,2036-04-10,festivo
295,2036-04-11,festivo
296,2036-04-13,domingo
297,2036-04-20,domingo
298,2036-04-27,domingo
299,2036-05-01,festivo
300,2036-05-04,domingo
301,2036-05-11,domingo
302,2036-05-18,domingo
303,2036-05-25,domingo
304,2036-05-26,festivo
305,2036-06-01,domingo
306,2036-06-08,domingo
307,2036-06-15,domingo
308,2036-06-16,festivo
309,2036-06-22,domingo
310,2036-06-23,festivo
311,2036-06-29,domingo
312,2036-06-30,festivo
313,2036-07-06,domingo
314,2036-07-13,domingo
315,2036-07-20,domingo y festivo
316,2036-07-27,domingo
317,2036-08-03,domingo
318,2036-08-07,festivo
319,2036-08-10,domingo
320,2036-08-17,domingo
321,2036-08-18,festivo
