"AUTOG CELSIA SOLAR LEVAPAN",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG CELSIA SOLAR PALMIRA 3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG CELSIA SOLAR TQ JAMUNDI",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG CELSIA SOLAR YUMBO",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG CEMENTOS DEL NARE",7.10,7.10,7.10,7.10,7.10,7.10,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,7.10,7.10
"AUTOG CI JEANS",0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.16,0.35,0.52,0.51,0.46,0.42,0.46,0.35,0.21,0.07,0.01,0.00,0.00,0.00,0.00,0.00
"AUTOG COCA-COLA FEMSA 1",0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40
"AUTOG COMOLSA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.20,2.20,3.30,3.30,3.30,3.30,2.20,1.20,1.20,1.00,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG CORPACERO 1",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG COSTAYACO",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"AUTOG ECOPETROL ORITO",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"AUTOG EL COPEY",0.00,0.00,0.00,0.00,0.00,0.00,0.60,2.10,2.90,0.40,1.00,2.90,5.60,3.60,3.10,1.20,1.60,0.40,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG GRAN COLOMBIA GOLD",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"AUTOG HIDROSOLAR I",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.72,0.96,1.44,1.87,1.89,1.83,1.82,1.62,0.91,0.08,0.00,0.00,0.00,0.00,0.00,0.00
